gene_id	gene_name	logCPM	logFC	PValue	FDR	location	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000100003	SEC14L2	7.472090494093832	5.3733362919243195	1.186020390588336e-13	1.7267270866575585e-9	22:30396941-30425303:+	protein_coding	23541	1251.0588235294117	55.256723716381416	12.925907844324309	14559	TRUE
ENSG00000165272	AQP3	7.6766414016733755	4.067022607690995	4.485637559743506e-12	3.120431293578476e-8	9:33441156-33447596:-	protein_coding	360	1282.857142857143	58.69710467706013	11.34817582040139	14558	TRUE
ENSG00000182795	C1orf116	4.162777844408049	3.2396523985730443	6.429901697050229e-12	3.120431293578476e-8	1:207018522-207032756:-	protein_coding	79098	4321.5	52.55119750086778	11.191795666695528	14557	TRUE
ENSG00000164188	RANBP3L	4.506877934374942	4.211141739672694	1.2499883983273999e-11	4.5496452728121536e-8	5:36246913-36302114:-	protein_coding	202151	2251.75	35.83879205062726	10.903094017844563	14556	TRUE
ENSG00000100906	NFKBIA	7.683240182332615	1.8540442675220217	1.7262003562377758e-11	5.026350197293156e-8	14:35401513-35404749:-	protein_coding	4792	937.9	55.98677897430429	10.762908798100215	14555	TRUE
ENSG00000186526	CYP4F8	4.619750126934942	5.317912094573169	2.4675861750366405e-11	5.987597853726408e-8	19:15615218-15630639:+	protein_coding	11283	1478.1666666666667	54.278949148720265	10.607727671610956	14554	TRUE
ENSG00000096060	FKBP5	7.7629074051189955	2.051541764960059	6.634772653595649e-11	1.379937929481415e-7	6:35573585-35728583:-	protein_coding	2289	4725.25	42.75964234696578	10.178173954032477	14553	TRUE
ENSG00000128641	MYO1B	4.994508905559604	2.376471141002447	2.04273731855341e-10	3.171076575197806e-7	2:191245185-191425389:+	protein_coding	4430	1988.8	41.1470903727541	9.689787476949268	14552	TRUE
ENSG00000117009	KMO	5.700160784290965	-1.5635790097792737	2.175863461949601e-10	3.171076575197806e-7	1:241532134-241595642:+	protein_coding	8564	1611.9	39.605434580308966	-9.662368360620144	1	TRUE
ENSG00000136997	MYC	6.477703904754117	1.8416644674210676	2.1780868021140227e-10	3.171076575197806e-7	8:127735434-127742951:+	protein_coding	4609	1661	54.11198073449731	9.661924816532514	14551	TRUE
ENSG00000047644	WWC3	8.410347274765227	1.568535792505391	3.9279875817525837e-10	4.828509841230771e-7	X:10015254-10144474:+	protein_coding	55841	3741	54.55760491847103	9.405829893895488	14550	TRUE
ENSG00000143507	DUSP10	5.255031287822014	1.691742764905867	3.9798144168397037e-10	4.828509841230771e-7	1:221701424-221742089:-	protein_coding	11221	1506.5	45.5028211085297	9.400137179087519	14549	TRUE
ENSG00000156284	CLDN8	4.877368389578786	3.126078880682317	7.484384186738562e-10	8.381934567286671e-7	21:30214006-30216097:-	protein_coding	9073	2092	37.3326959847036	9.125843927492426	14548	TRUE
ENSG00000213759	UGT2B11	3.248526111993084	4.397250369770319	9.513236959161482e-10	9.893086920602287e-7	4:69199951-69214748:-	protein_coding	10720	1332.5	38.01125703564729	9.021671685553827	14547	TRUE
ENSG00000188064	WNT7B	5.934646211716605	2.1787239475401634	1.4022661824728675e-9	1.3610395567081652e-6	22:45920366-45977162:-	protein_coding	7477	1934	64.47776628748704	8.85316953943175	14546	TRUE
ENSG00000174469	CNTNAP2	6.751005704830333	1.1452663855884921	4.268580479665479e-9	3.884141450215606e-6	7:146116002-148420998:+	protein_coding	26047	2169.6666666666665	44.69772622522661	8.369716525992306	14545	TRUE
ENSG00000111666	CHPT1	6.36452620683976	1.5606921226478174	5.611114489473884e-9	4.805424461897075e-6	12:101696947-101744140:+	protein_coding	56994	1402.3	43.50709548598731	8.250950869838785	14544	TRUE
ENSG00000177508	IRX3	7.615962420975305	1.1426716992599915	8.247549060963288e-9	6.474341872718425e-6	16:54283304-54286787:-	protein_coding	79191	1536.3333333333333	64.0269038837058	8.083675092352214	14543	TRUE
ENSG00000151790	TDO2	6.803548126396822	-1.6285382646798612	8.449240715821833e-9	6.474341872718425e-6	4:155854738-155920406:+	protein_coding	6999	1090.625	37.66189111747851	-8.073182316818926	2	TRUE
ENSG00000079691	CARMIL1	6.094178916393259	1.361487490359364	1.020522909321083e-8	7.245289756490157e-6	6:25279078-25620530:+	protein_coding	55604	2394.8	45.50693168531817	7.991177241530905	14542	TRUE
ENSG00000127663	KDM4B	6.835604257060068	1.0844647619452807	1.0450654913544425e-8	7.245289756490157e-6	19:4969113-5153598:+	protein_coding	23030	2790.9166666666665	61.08506763010956	7.9808564926700365	14541	TRUE
ENSG00000135226	UGT2B28	2.2604740261829916	5.004469027862321	1.1215185466276819e-8	7.421903872887463e-6	4:69280475-69295050:+	protein_coding	54490	1691	39.53282081608513	7.9501935400645545	14540	TRUE
ENSG00000101298	SNPH	7.163398649189291	-1.3174963186295667	1.489943002204331e-8	9.431339203953415e-6	20:1266280-1309328:+	protein_coding	9751	4698.75	61.723862729449344	-7.8268303452129695	3	TRUE
ENSG00000241878	PISD	6.16030102131371	1.074660423251109	1.7564628074696927e-8	1.0655142505813023e-5	22:31618491-31662432:-	protein_coding	23761	1540.3529411764705	58.313602688459476	7.755361041819403	14539	TRUE
ENSG00000108932	SLC16A6	8.179971948628799	1.121414362524991	2.265316542313503e-8	1.3084661302402047e-5	17:68267026-68291267:-	protein_coding	9120	2142.8	41.5811088295688	7.644871103596058	14538	TRUE
ENSG00000152620	NADK2	6.605337205322526	1.1725852427498458	2.3367071492716067e-8	1.3084661302402047e-5	5:36192589-36242279:-	protein_coding	133686	1802.4545454545455	39.44116608664952	7.631395712693243	14537	TRUE
ENSG00000073282	TP63	2.3679987441896357	-2.589321176166927	2.7016603635701548e-8	1.4567953049339955e-5	3:189631389-189897276:+	protein_coding	8626	2108.5714285714284	47.46273712737128	-7.5683692487627265	4	TRUE
ENSG00000175264	CHST1	5.804585225239553	-1.138046682415292	2.943583875862188e-8	1.4889548538521793e-5	11:45647689-45665622:-	protein_coding	8534	1927.6666666666667	59.934290160816175	-7.531123584684451	5	TRUE
ENSG00000179841	AKAP5	5.821503139308672	1.0627509724120663	2.9658417996918194e-8	1.4889548538521793e-5	14:64465499-64474503:+	protein_coding	9495	4544	37.070862676056315	7.5278520182952455	14536	TRUE
ENSG00000169116	PARM1	5.148732443801491	1.1000035885878565	3.3646440708875465e-8	1.5346743629015927e-5	4:74933095-75050115:+	protein_coding	25849	4659.5	44.83313660263974	7.473060870882865	14535	TRUE
ENSG00000158125	XDH	4.587760457433359	-1.573760953531707	3.422478711741358e-8	1.5346743629015927e-5	2:31334321-31414742:-	protein_coding	7498	2257	49.68246935460049	-7.465659244553216	6	TRUE
ENSG00000176387	HSD11B2	4.207961998515663	1.3171364422355867	3.477079786622087e-8	1.5346743629015927e-5	16:67430652-67437553:+	protein_coding	3291	912	62.66447368421054	7.45878534368771	14534	TRUE
ENSG00000141384	TAF4B	2.257157300845437	1.655454982973119	3.478553058297449e-8	1.5346743629015927e-5	18:26226445-26391685:+	protein_coding	6875	4128.666666666667	45.49491361214276	7.458601367971111	14533	TRUE
ENSG00000176597	B3GNT5	5.161791394939432	-1.1931491831775334	4.338596628001594e-8	1.857812597266918e-5	3:183253253-183298504:+	protein_coding	84002	1409.4166666666667	41.99728019866373	-7.362650725620134	7	TRUE
